ATF1_(+),ATF4_(+),BATF_(+),BCLAF1_(+),BHLHE40_(+),BPTF_(+),CEBPB_(+),CEBPD_(+),CREM_(+),CXXC1_(+),DRAP1_(+),E2F4_(+),EGR1_(+),ELF1_(+),ELF2_(+),ELK4_(+),EOMES_(+),EP300_(+),ETS1_(+),ETV3_(+),FLI1_(+),FOS_(+),FOSB_(+),GATA3_(+),HMGA1_(+),HOXB2_(+),IKZF1_(+),IKZF3_(+),ILF2_(+),ING4_(+),IRF1_(+),IRF3_(+),IRF7_(+),JUN_(+),JUNB_(+),JUND_(+),KLF10_(+),KLF11_(+),KLF13_(+),KLF2_(+),KLF3_(+),MAF_(+),MAFF_(+),MAZ_(+),NFATC2_(+),NFATC3_(+),NFKB1_(+),NFYC_(+),NR1H2_(+),NR3C1_(+),PHF20_(+),RBPJ_(+),RUNX3_(+),RXRB_(+),STAT1_(+),STAT6_(+),TAF6_(+),TBX21_(+),TFDP1_(+),TFDP2_(+),THAP1_(+),THRA_(+),USF2_(+),XBP1_(+),YBX1_(+),YY1_(+),ZBTB11_(+),ZBTB25_(+),ZBTB7A_(+),ZNF274_(+),ZNF518A_(+),ZNF580_(+),ZNF595_(+)
,MORF4L2,,,,,STMN1,RNF166,,,RPS9,,,NUDT21,PSMB2,,PRR5,,NME2,,,NFKBIA,,SLTM,ZNF335,,,SRSF2,,,,,,PPP1R15A,GORASP2,TGFB1,,,,,,,,,,,,,,,TIA1,,,,,,,SRPRA,,,,,,,,EXOC4,,,POFUT2,,,,
,MOSPD3,,,,,STX10,ROCK1,,,RSF1,,,NUDT22,PSMB4,,PRSS23,,NMUR1,,,NFKBID,,SMAGP,ZNF394,,,STAU2,,,,,,PPP1R15B,GPR82,TMED2,,,,,,,,,,,,,,,TLE1,,,,,,,SRSF9,,,,,,,,EXOC5,,,POLR1D,,,,
,MRPL2,,,,,STX16,RPL9,,,RSL24D1,,,NUTF2,PSMC4,,PSAP,,NNT,,,NFKBIZ,,SMARCC2,,,,STIP1,,,,,,PPP2R5C,GPX4,TMEM126B,,,,,,,,,,,,,,,TMEM106B,,,,,,,SSBP1,,,,,,,,EXOSC6,,,POLR2A,,,,
,MSI2,,,,,SUN2,RPP21,,,RTF1,,,NXT1,PSMD14,,PSMA3,,NPM3,,,NIFK-AS1,,SMIM10L1,,,,STK17A,,,,,,PPP2R5E,GRK2,TMUB2,,,,,,,,,,,,,,,TMEM126B,,,,,,,SSH2,,,,,,,,FAF1,,,POLR2G,,,,
,MSL2,,,,,SVIP,RPS16,,,RUNX1,,,ORMDL2,PSMD6,,PSMA4,,NPRL2,,,NNT,,SMS,,,,TBL1XR1,,,,,,PRELID1,GSN,TMX1,,,,,,,,,,,,,,,TMEM19,,,,,,,STARD3NL,,,,,,,,FAM107B,,,POLR2J,,,,
,MSN,,,,,TAF10,RSBN1,,,RUVBL1,,,OXA1L,PSMD7,,PSMA5,,NR3C1,,,NONO,,SNF8,,,,TBRG1,,,,,,PRR13,GSTK1,TNFAIP8,,,,,,,,,,,,,,,TMEM256,,,,,,,STK17A,,,,,,,,FAM111A,,,PPHLN1,,,,
,MTG1,,,,,TAF1D,RSBN1L,,,RWDD1,,,OXLD1,PSMF1,,PSMB10,,NSUN6,,,NOP10,,SNRNP200,,,,THRAP3,,,,,,PRRC2C,GTF2H2,TOMM22,,,,,,,,,,,,,,,TMX1,,,,,,,STMN1,,,,,,,,FAM207A,,,PPIA,,,,
,MTIF3,,,,,TBCB,RSRP1,,,SAMSN1,,,OXNAD1,PTBP1,,PSMB4,,NUDC,,,NR1H2,,SNRPD1,,,,TIPRL,,,,,,PSMA1,GTF3A,TPT1,,,,,,,,,,,,,,,TNFRSF18,,,,,,,SUMO3,,,,,,,,FAM32A,,,PPP1CA,,,,
,MTRF1L,,,,,TBL1XR1,S1PR5,,,SAP30BP,,,P4HB,PTPN18,,PSMD9,,NUDT22,,,NR3C1,,SNRPD2,,,,TM7SF3,,,,,,PSMB8,GYG1,TSC2,,,,,,,,,,,,,,,TOB1,,,,,,,SUPT7L,,,,,,,,FAM50A,,,PPP1CB,,,,
,MYDGF,,,,,TGFB1,SART1,,,SAT1,,,PAN3,PTPN4,,PSME1,,ODF2,,,NR4A2,,SNRPN,,,,TMCO1,,,,,,PTGES3,GZMH,TSC22D4,,,,,,,,,,,,,,,TOMM5,,,,,,,SVIP,,,,,,,,FAM53C,,,PPP2R5E,,,,
,MYO9B,,,,,TGFBR3,SBF2,,,SCNM1,,,PARP15,PTPN6,,PTBP3,,OXNAD1,,,NUCB2,,SOCS3,,,,TMEM170A,,,,,,PTMA,H1FX,TUBA1A,,,,,,,,,,,,,,,TPR,,,,,,,SYTL3,,,,,,,,FAM78A,,,PPP6R1,,,,
,MYOM2,,,,,TIAL1,SCAND1,,,SDF2,,,PCMT1,PTPN7,,PTMA,,PABPC1,,,NUFIP2,,SP100,,,,TNRC6B,,,,,,PTPN7,H3F3B,UBC,,,,,,,,,,,,,,,TRAPPC3,,,,,,,TACC1,,,,,,,,FBXW5,,,PRDX3,,,,
,NACA,,,,,TIMM10,SDF2L1,,,SET,,,PCNX4,PUF60,,PTPN4,,PABPC4,,,OLA1,,SP3,,,,TOP2B,,,,,,RAC1,HBA1,UBE2D3,,,,,,,,,,,,,,,TSEN15,,,,,,,TAF12,,,,,,,,FCER1G,,,PRF1,,,,
,NAP1L4,,,,,TIMMDC1,SDHAF2,,,SF3A1,,,PDAP1,PXN,,PYCR2,,PAFAH1B2,,,OSBPL5,,ST3GAL5,,,,TRA2A,,,,,,RACK1,HBA2,UBE2I,,,,,,,,,,,,,,,TSEN54,,,,,,,TAF13,,,,,,,,FEZ1,,,PRPF4B,,,,
,NCL,,,,,TINF2,SEC11A,,,SF3A2,,,PDIA3,QARS,,PYHIN1,,PAGR1,,,OSTC,,STARD7,,,,TRMT112,,,,,,RAD23A,HDAC5,UBE2M,,,,,,,,,,,,,,,TSPAN14,,,,,,,TAF15,,,,,,,,FIS1,,,PRR13,,,,
,NDUFA6,,,,,TMED9,SEC31A,,,SF3B5,,,PDIA4,R3HDM2,,QARS,,PCSK5,,,PAPOLA,,STOML2,,,,TSR2,,,,,,RAPGEF6,HDHD2,UBE2Q1,,,,,,,,,,,,,,,TSPYL1,,,,,,,TC2N,,,,,,,,FLNA,,,PSMA4,,,,
,NDUFC1,,,,,TMEM126A,SEC63,,,SF3B6,,,PEX2,RAB1B,,RAB10,,PDCD2,,,PCBP1,,STX11,,,,TUBA1C,,,,,,RBM39,HERC1,UBXN1,,,,,,,,,,,,,,,TUBA1B,,,,,,,TEX264,,,,,,,,FNDC3B,,,PSMB1,,,,
,NDUFS2,,,,,TMEM167A,SH2D2A,,,SH2D2A,,,PFDN2,RAB6A,,RAB11FIP1,,PDIA4,,,PCED1B-AS1,,SUDS3,,,,TUBB4B,,,,,,RCBTB2,HEXB,UQCR11,,,,,,,,,,,,,,,TXNIP,,,,,,,TGFB1,,,,,,,,FOSL2,,,PSMB10,,,,
,NDUFS3,,,,,TMEM230,SH3BP2,,,SH3BGRL,,,PFN1,RAB7A,,RAB22A,,PDIA6,,,PCF11,,SUMO3,,,,TYROBP,,,,,,RGS19,HEXIM1,USE1,,,,,,,,,,,,,,,UBA6,,,,,,,TGOLN2,,,,,,,,FPGS,,,PSMC1,,,,
,NFKB2,,,,,TMF1,SIK3,,,SH3GLB1,,,PGAM1,RAB8B,,RAB29,,PDK3,,,PCNP,,SUPT3H,,,,U2SURP,,,,,,RHOC,HHEX,USP34,,,,,,,,,,,,,,,UBB,,,,,,,THUMPD3-AS1,,,,,,,,FXYD5,,,PSMD2,,,,
,NFKBIB,,,,,TNFAIP8,SLC25A39,,,SIPA1,,,PGK1,RABL2B,,RAF1,,PDS5A,,,PCNX1,,SYK,,,,UBA1,,,,,,RICTOR,HIGD1A,UTP18,,,,,,,,,,,,,,,UBE2N,,,,,,,TIMM17A,,,,,,,,GAB3,,,PSMD6,,,,
,NFKBIZ,,,,,TOP2B,SLC2A4RG,,,SLC39A7,,,PHLDA1,RACK1,,RALA,,PDXDC1,,,PDCD4,,SYNE1,,,,UBC,,,,,,RNF213,HINT1,VOPP1,,,,,,,,,,,,,,,UBL5,,,,,,,TM2D1,,,,,,,,GAK,,,PSMD8,,,,
,NIPBL,,,,,TRMT10C,SLC38A10,,,SLU7,,,PHTF1,RAD1,,RAN,,PET100,,,PDE4B,,TANK,,,,UBE2D2,,,,,,RPL10A,HIPK1-AS1,WAC,,,,,,,,,,,,,,,UCP2,,,,,,,TMBIM1,,,,,,,,GALNT11,,,PSMD9,,,,
,NNT,,,,,TRMT2A,SLC38A2,,,SMARCA5,,,PIK3CA,RALY,,RANGRF,,PEX2,,,PDIA3,,TCEA1,,,,UBE2E1,,,,,,RPL11,HLA-B,WDR55,,,,,,,,,,,,,,,UGGT1,,,,,,,TMCO1,,,,,,,,GAR1,,,PTGES3,,,,
,NPM1,,,,,TSC22D3,SLF1,,,SMC3,,,PITPNC1,RAP1B,,RAPGEF6,,PFDN5,,,PDIA6,,TEN1,,,,UBE2G1,,,,,,RPL12,HLA-E,XIST,,,,,,,,,,,,,,,URM1,,,,,,,TMED2,,,,,,,,GATA3,,,PTP4A2,,,,
,NR4A1,,,,,TUBA4A,SLFN5,,,SMIM7,,,POLR2I,RASSF3,,RASSF1,,PGAM1,,,PEX2,,TIMM13,,,,UBE2M,,,,,,RPL14,HMGN1,XRCC5,,,,,,,,,,,,,,,USP11,,,,,,,TMED9,,,,,,,,GATAD2A,,,PTPN2,,,,
,NRROS,,,,,TUBB,SMG1,,,SMS,,,POLR2J3,RBMX2,,RBM25,,PHAX,,,PFN1,,TIMM50,,,,UBE2S,,,,,,RPL15,HMGN3,YARS,,,,,,,,,,,,,,,USP33,,,,,,,TMEM123,,,,,,,,GCH1,,,PTPN6,,,,
,NSFL1C,,,,,U2AF1L4,SNAP23,,,SNHG3,,,POLR2L,RER1,,RBM3,,PHB2,,,PGD,,TINF2,,,,UBE2V1,,,,,,RPL19,HNRNPA0,YIPF4,,,,,,,,,,,,,,,USP47,,,,,,,TMEM181,,,,,,,,GDI2,,,PTPRA,,,,
,NSUN6,,,,,UAP1,SNHG16,,,SNRNP200,,,POLR3E,RFC2,,RBMX,,PHF1,,,PGK1,,TM9SF3,,,,UPF2,,,,,,RPL21,HNRNPA1,YPEL3,,,,,,,,,,,,,,,USP8,,,,,,,TMEM243,,,,,,,,GHITM,,,PTPRC,,,,
,NT5C3A,,,,,UBA2,SNHG5,,,SNRPB,,,POLR3GL,RFXANK,,RC3H2,,PHF11,,,PHF11,,TMA7,,,,USP14,,,,,,RPL24,HNRNPA2B1,YRDC,,,,,,,,,,,,,,,VDAC1,,,,,,,TMEM248,,,,,,,,GIGYF1,,,PUF60,,,,
,NUB1,,,,,UBALD2,SNTB2,,,SNRPB2,,,POP7,RHOC,,RCN2,,PHF14,,,PHF14,,TMED10,,,,USP15,,,,,,RPL27A,HNRNPC,YWHAB,,,,,,,,,,,,,,,VPS35,,,,,,,TMEM259,,,,,,,,GINM1,,,PYM1,,,,
,NUBP2,,,,,ULK3,SNX20,,,SNRPD1,,,PPM1A,RHOF,,RER1,,PHF3,,,PHF3,,TMED3,,,,VBP1,,,,,,RPL28,HNRNPD,YWHAQ,,,,,,,,,,,,,,,WAC,,,,,,,TMEM59,,,,,,,,GK5,,,RAB10,,,,
,NUCB1,,,,,UQCR11,SP110,,,SNRPE,,,PPP1R2,RHOG,,RHOC,,PHIP,,,PHIP,,TMED9,,,,VPS4B,,,,,,RPL31,HNRNPDL,YY1,,,,,,,,,,,,,,,WDR1,,,,,,,TMX1,,,,,,,,GMIP,,,RAB27A,,,,
,NUDCD2,,,,,USB1,SPAG7,,,SNRPG,,,PPP4R3B,RNASEK,,RIOK1,,PI4KB,,,PIK3CA,,TMEM126A,,,,WBP4,,,,,,RPL32,HNRNPU,ZFP36,,,,,,,,,,,,,,,WDR11,,,,,,,TMX4,,,,,,,,GNAI2,,,RAB2A,,,,
,NUDT21,,,,,USP36,SPPL2A,,,SNX1,,,PPT1,RNPEP,,RNPS1,,PIK3AP1,,,PIK3R1,,TMEM126B,,,,WDR61,,,,,,RPL34,HOXB-AS1,ZFP36L2,,,,,,,,,,,,,,,WDR61,,,,,,,TNFRSF4,,,,,,,,GNAS,,,RAC2,,,,
,NUMA1,,,,,VDAC1,SPRY2,,,SNX17,,,PRKX,RPL12,,ROCK1,,PIK3R1,,,PMAIP1,,TMEM208,,,,WIPF1,,,,,,RPL36,HP1BP3,ZFX,,,,,,,,,,,,,,,WDR74,,,,,,,TPST2,,,,,,,,GNB1,,,RANGRF,,,,
,NUP160,,,,,VOPP1,SQSTM1,,,SP3,,,PRPF19,RPL22L1,,RPL15,,PLEKHF1,,,POLK,,TMOD3,,,,XRCC5,,,,,,RPL37,HPCAL1,ZNF638,,,,,,,,,,,,,,,XPO1,,,,,,,TRAPPC10,,,,,,,,GNG2,,,RAPGEF6,,,,
,NXT1,,,,,VPS4B,SREK1,,,SPAG7,,,PRPS2,RPL24,,RPL22L1,,PLGRKT,,,POLR2C,,TNFAIP3,,,,ZC3H18,,,,,,RPL38,HSP90B1,ZNF655,,,,,,,,,,,,,,,XRCC5,,,,,,,TRAPPC5,,,,,,,,GNL1,,,RASSF5,,,,
,OARD1,,,,,WAPL,SRP19,,,SPPL3,,,PRRC2C,RPL27A,,RPL35,,PMPCB,,,POLR2K,,TNIP1,,,,ZC3HAV1,,,,,,RPL39L,HSPH1,,,,,,,,,,,,,,,,XRCC6,,,,,,,TRIM33,,,,,,,,GOLIM4,,,RASSF7,,,,
,OFD1,,,,,WDR55,SRSF1,,,SRP14,,,PRSS23,RPL28,,RPN2,,PNN,,,PPCS,,TOMM22,,,,ZFP36L2,,,,,,RPL4,ICAM3,,,,,,,,,,,,,,,,ZBTB1,,,,,,,TSPAN14,,,,,,,,GPATCH4,,,RB1CC1,,,,
,OR2A25,,,,,YBX1,SRSF6,,,SSR3,,,PSMA4,RPL29,,RPS16,,PNO1,,,PPIB,,TPP2,,,,ZFR,,,,,,RPL6,ID1,,,,,,,,,,,,,,,,ZFAND6,,,,,,,TSPAN17,,,,,,,,GPBP1,,,RBBP4,,,,
,OST4,,,,,ZBTB20,SRSF9,,,STIM2,,,PSMA6,RPL36,,RPS19,,PNPLA8,,,PPP1R10,,TRAPPC4,,,,ZFX,,,,,,RPL8,IDI1,,,,,,,,,,,,,,,,ZNF480,,,,,,,TSPYL1,,,,,,,,GPR108,,,RBL2,,,,
,OTUD5,,,,,ZBTB7A,SSBP4,,,STK10,,,PTBP3,RPL37,,RPS27L,,POLG,,,PPP1R15A,,TRG-AS1,,,,ZNF410,,,,,,RPLP1,IER2,,,,,,,,,,,,,,,,ZNF638,,,,,,,TSSC4,,,,,,,,GPRIN3,,,RBM17,,,,
,P4HB,,,,,ZEB2,SSR1,,,SUB1,,,PTCH2,RPL5,,RPS6KA1,,PPA2,,,PPP2CA,,TSEN54,,,,ZNF7,,,,,,RPS12,IER5,,,,,,,,,,,,,,,,,,,,,,,TSTA3,,,,,,,,GPS1,,,RBM22,,,,
,PABPC1,,,,,ZMAT3,SSR3,,,SUCLG1,,,PTPN1,RPL7A,,RSRP1,,PPM1G,,,PPP2R2A,,TSG101,,,,,,,,,,RPS14,IFITM3,,,,,,,,,,,,,,,,,,,,,,,TTC17,,,,,,,,GPSM3,,,RBM25,,,,
,PBRM1,,,,,ZNF655,SSR4,,,SYNGR1,,,PTPRA,RPLP0,,S100A10,,PPP1R15A,,,PPP2R5A,,TSNAX,,,,,,,,,,RPS16,IFRD1,,,,,,,,,,,,,,,,,,,,,,,TTC19,,,,,,,,GRIPAP1,,,RBM7,,,,
,PCBP2,,,,,ZNF706,ST6GALNAC6,,,TAF12,,,RAB10,RPN2,,S100A11,,PPP1R35,,,PPP3CB,,TTC17,,,,,,,,,,RPS18,IFRD2,,,,,,,,,,,,,,,,,,,,,,,TUBA1B,,,,,,,,GRK2,,,RER1,,,,
,PDAP1,,,,,,STARD3NL,,,TAF7,,,RAB1B,RPS15A,,S100A9,,PPP1R7,,,PPTC7,,TUBA1B,,,,,,,,,,RPS19,IL10RA,,,,,,,,,,,,,,,,,,,,,,,TUBB,,,,,,,,GRK6,,,REXO4,,,,
,PGK1,,,,,,STAU2,,,TGFB1,,,RAB27A,RPS24,,S1PR4,,PPP1R9B,,,PRCC,,UBE2L3,,,,,,,,,,RPS20,IL2RB,,,,,,,,,,,,,,,,,,,,,,,UBE2F,,,,,,,,GRSF1,,,RGS14,,,,
,PHLDA1,,,,,,STK16,,,THEM4,,,RAB4A,RPS25,,SCNM1,,PPP2CA,,,PRDM2,,UBXN1,,,,,,,,,,RPS25,IMPDH2,,,,,,,,,,,,,,,,,,,,,,,UBE2G2,,,,,,,,GSTO1,,,RHBDF2,,,,
,PHTF1,,,,,,STK26,,,THUMPD3-AS1,,,RAB4B,RPS3A,,SCP2,,PPP3CA,,,PRKAG1,,UNC13D,,,,,,,,,,RPS26,IRF1,,,,,,,,,,,,,,,,,,,,,,,UBE2Q2,,,,,,,,GSTP1,,,RHOG,,,,
,PMPCB,,,,,,STOM,,,TIMM13,,,RAE1,RPS4X,,SDF2L1,,PPP4R3A,,,PRKCB,,UQCRQ,,,,,,,,,,RPS27,IRF3,,,,,,,,,,,,,,,,,,,,,,,UBN1,,,,,,,,GTF2I,,,RIN3,,,,
,PNN,,,,,,STT3B,,,TIMM17B,,,RALA,RPS4Y1,,SDHB,,PRDX3,,,PRRC2C,,URM1,,,,,,,,,,RPS27A,ISCA1,,,,,,,,,,,,,,,,,,,,,,,UPF3A,,,,,,,,GTF3C6,,,RIT1,,,,
,PNRC2,,,,,,STX10,,,TIMM8B,,,RALBP1,RPS5,,SEC23IP,,PRF1,,,PSMG2,,USB1,,,,,,,,,,RPS3A,ITGB1BP1,,,,,,,,,,,,,,,,,,,,,,,UTP18,,,,,,,,GZMB,,,RLIM,,,,
,POLR1D,,,,,,STX16,,,TKT,,,RAMP1,RSL24D1,,SEC62,,PRKAG2,,,PTMA,,USP1,,,,,,,,,,RPS4X,ITM2B,,,,,,,,,,,,,,,,,,,,,,,WAC,,,,,,,,H1FX,,,RNF10,,,,
,POLR2A,,,,,,SUN2,,,TMA7,,,RAN,S100B,,SEC63,,PRPF38B,,,PTPN2,,USP3,,,,,,,,,,RPS5,ITPR1,,,,,,,,,,,,,,,,,,,,,,,WAS,,,,,,,,H3F3A,,,ROCK1,,,,
,POLR2F,,,,,,SYNCRIP,,,TMEM230,,,RAP1GAP2,SAMSN1,,SEMA4D,,PRR5,,,RAB11A,,USP36,,,,,,,,,,RPS6,ITPRIP,,,,,,,,,,,,,,,,,,,,,,,WDR46,,,,,,,,H3F3B,,,RPA2,,,,
,PPIA,,,,,,SYNE1,,,TMEM59,,,RBM38,SCAND1,,SFI1,,PSMA4,,,RAB2A,,VMA21,,,,,,,,,,RPS9,JMY,,,,,,,,,,,,,,,,,,,,,,,WDR70,,,,,,,,HAX1,,,RPL14,,,,
,PPID,,,,,,SZRD1,,,TMSB4X,,,RBM4,SCCPDH,,SFT2D1,,PSMA5,,,RAB6A,,WDR74,,,,,,,,,,RRP8,JTB,,,,,,,,,,,,,,,,,,,,,,,WDR74,,,,,,,,HBS1L,,,RPL22L1,,,,
,PPM1B,,,,,,TADA3,,,TNIP1,,,RBM42,SDF2,,SH2D1A,,PSMB1,,,RAB7A,,WDSUB1,,,,,,,,,,RSRP1,JUN,,,,,,,,,,,,,,,,,,,,,,,WDR82,,,,,,,,HEBP2,,,RPL7L1,,,,
,PPP1R15A,,,,,,TAGAP,,,TOMM22,,,RBX1,SDHD,,SHISA5,,PSMD13,,,RAC1,,YWHAB,,,,,,,,,,RUNX1,JUNB,,,,,,,,,,,,,,,,,,,,,,,WDR83OS,,,,,,,,HELZ,,,RPS27L,,,,
,PPP1R2,,,,,,TANK,,,TOMM5,,,RC3H2,SEC61G,,SHKBP1,,PSMD8,,,RACK1,,YWHAZ,,,,,,,,,,S100A4,JUND,,,,,,,,,,,,,,,,,,,,,,,XRN1,,,,,,,,HERPUD2,,,RPS6KB2,,,,
,PPP2R3C,,,,,,TAX1BP1,,,TPM3,,,RECQL,SERF2,,SKAP2,,PSTPIP1,,,RAF1,,ZBTB11,,,,,,,,,,SAMD3,KAT8,,,,,,,,,,,,,,,,,,,,,,,YES1,,,,,,,,HIGD2A,,,RSBN1,,,,
,PPP3CA,,,,,,TBC1D5,,,TPST2,,,RELA,SERPINB1,,SLC25A36,,PTGDS,,,RAMP1,,ZC3H15,,,,,,,,,,SAP30BP,KBTBD2,,,,,,,,,,,,,,,,,,,,,,,YWHAB,,,,,,,,HLA-F,,,S1PR4,,,,
,PPP4R3A,,,,,,TBL1XR1,,,TRAPPC1,,,RFC1,SERTAD3,,SLTM,,PTP4A2,,,RAP1A,,ZC3HAV1,,,,,,,,,,SARAF,KCTD5,,,,,,,,,,,,,,,,,,,,,,,ZBTB1,,,,,,,,HMGN3,,,SAMD9,,,,
,PRKACB,,,,,,TBX21,,,TRMT112,,,RGL4,SF3B1,,SMARCE1,,PTPN4,,,RAP1B,,ZEB2,,,,,,,,,,SAT1,KDM6B,,,,,,,,,,,,,,,,,,,,,,,ZBTB16,,,,,,,,HNRNPC,,,SAR1A,,,,
,PRKAG1,,,,,,TIMMDC1,,,TSPAN31,,,RGS10,SF3B5,,SMC4,,PXN,,,RAP2C,,ZFP36L1,,,,,,,,,,SBDS,KIAA0319L,,,,,,,,,,,,,,,,,,,,,,,ZC3H13,,,,,,,,HNRNPD,,,SCLT1,,,,
,PRKAG2,,,,,,TMBIM6,,,TSR2,,,RHOA,SFT2D1,,SMS,,R3HDM4,,,RAPGEF1,,ZFP91,,,,,,,,,,SEC61B,KIAA2026,,,,,,,,,,,,,,,,,,,,,,,ZNF276,,,,,,,,HNRNPH3,,,SEC22B,,,,
,PRKCSH,,,,,,TMEM106B,,,TXNDC17,,,RIOK1,SH2D2A,,SNHG3,,RAB1B,,,RAPGEF6,,ZNF26,,,,,,,,,,SERTAD1,KLHDC4,,,,,,,,,,,,,,,,,,,,,,,ZNF511,,,,,,,,HNRNPK,,,SEC24C,,,,
,PRMT9,,,,,,TMEM14B,,,TXNRD1,,,RIOK3,SLC39A8,,SNX6,,RAC1,,,RBBP6,,,,,,,,,,,,SF3B5,KLRG1,,,,,,,,,,,,,,,,,,,,,,,ZNF655,,,,,,,,HNRNPM,,,SEC31A,,,,
,PRPF38B,,,,,,TMEM165,,,UBA52,,,RLIM,SMIM7,,SPCS2,,RAD21,,,RBBP7,,,,,,,,,,,,SFPQ,KMT2E-AS1,,,,,,,,,,,,,,,,,,,,,,,ZYX,,,,,,,,HNRNPR,,,SECISBP2L,,,,
,PRR13,,,,,,TMEM170A,,,UBB,,,RNASEH2B,SMS,,SREK1,,RAP1B,,,RBCK1,,,,,,,,,,,,SH3BP1,KPNA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HOPX,,,SERBP1,,,,
,PSMD11,,,,,,TMEM248,,,UBE2K,,,ROMO1,SNAPC5,,SRP19,,RASGRP2,,,RBM18,,,,,,,,,,,,SKIL,KRIT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HPS1,,,SERINC1,,,,
,PSMD2,,,,,,TMEM259,,,UBE2N,,,RPA3,SNHG12,,SRP72,,RBM33,,,RBM3,,,,,,,,,,,,SLAIN2,KRR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HSBP1,,,SET,,,,
,PSMD6,,,,,,TMEM35B,,,UBE2V2,,,RPIA,SNRPB,,SRSF1,,RBM39,,,RBM8A,,,,,,,,,,,,SLC16A3,KTN1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HSD17B11,,,SF3A2,,,,
,PSME2,,,,,,TMF1,,,UBL5,,,RPL21,SNRPC,,SRSF10,,RBM42,,,RGCC,,,,,,,,,,,,SLC39A8,KXD1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HSF1,,,SF3B1,,,,
,PSMG3,,,,,,TOX,,,UFC1,,,RPL22,SNRPD1,,SSB,,RCC2,,,RGS2,,,,,,,,,,,,SLC44A2,LAMTOR3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HSP90AA1,,,SFI1,,,,
,PTGDS,,,,,,TP53I13,,,UQCR11,,,RPL23,SNX6,,SSBP4,,RCSD1,,,RIF1,,,,,,,,,,,,SLIRP,LAP3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HSP90AB1,,,SFPQ,,,,
,PTK2B,,,,,,TPRKB,,,UQCRQ,,,RPL32,SPAG7,,STIP1,,RER1,,,RPL12,,,,,,,,,,,,SMARCA2,LARP7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HSPA4,,,SFSWAP,,,,
,PTS,,,,,,TPST2,,,URM1,,,RPL34,SRRM1,,STK17A,,RFC2,,,RPL13,,,,,,,,,,,,SMARCA5,LAS1L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HSPA8,,,SFT2D2,,,,
,RAB10,,,,,,TSC22D3,,,UROS,,,RPL36,SSR1,,SUGT1,,RFXANK,,,RPL13A,,,,,,,,,,,,SMC4,LBH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ID1,,,SH2D2A,,,,
,RAB1B,,,,,,TSNAX,,,USP15,,,RPL41,SSU72,,SYNE2,,RGS10,,,RPL15,,,,,,,,,,,,SMIM20,LCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IER5,,,SH3BP2,,,,
,RAB22A,,,,,,TSTA3,,,USP16,,,RPN1,SUB1,,SZRD1,,RGS19,,,RPL17,,,,,,,,,,,,SNHG15,LCMT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IFFO1,,,SLC25A1,,,,
,RAB5B,,,,,,TTC1,,,UTP18,,,RPS13,SUMO3,,TAF12,,RGS3,,,RPL21,,,,,,,,,,,,SNHG5,LINC-PINT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IFNGR1,,,SLC52A2,,,,
,RABAC1,,,,,,TTC39C,,,UXT,,,RPS19,SYTL1,,TAF1D,,RIC8A,,,RPL22L1,,,,,,,,,,,,SNRPB,LINC00824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IL32,,,SMAP2,,,,
,RABL2B,,,,,,TXNL1,,,VOPP1,,,RPS20,TAOK3,,TBK1,,RIOK3,,,RPL24,,,,,,,,,,,,SNRPD1,LITAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ILF3,,,SMARCA2,,,,
,RAP2B,,,,,,UBE2I,,,VPS25,,,RPS25,TCEAL8,,TBL1XR1,,RIPK2,,,RPL27A,,,,,,,,,,,,SNRPD2,LLPH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ING2,,,SMARCA4,,,,
,RAPGEF6,,,,,,UBE2S,,,VTI1A,,,RPS27,TCP1,,TBRG1,,RNASET2,,,RPL28,,,,,,,,,,,,SNRPE,LRCH3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IREB2,,,SMIM19,,,,
,RBBP7,,,,,,UBXN1,,,WDR83OS,,,RPS29,TERF1,,TCP1,,RNF10,,,RPL29,,,,,,,,,,,,SNX10,LST1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IRF1,,,SNHG6,,,,
,RBM3,,,,,,USE1,,,XIST,,,RSBN1,TFDP1,,THOC7,,RNF125,,,RPL32,,,,,,,,,,,,SPAG7,LTBP3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IRF2,,,SNRNP200,,,,
