ARID3A_(+),ARID5B_(+),ARNTL_(+),ATF1_(+),ATF4_(+),ATF6B_(+),BATF_(+),BCL11B_(+),BCLAF1_(+),BHLHE40_(+),BPTF_(+),CEBPB_(+),CEBPD_(+),CEBPG_(+),CREB1_(+),CREB3L2_(+),CREM_(+),CTCF_(+),CUX1_(+),DDIT3_(+),E2F4_(+),ELF1_(+),ELF2_(+),ELK4_(+),EOMES_(+),EP300_(+),ETS1_(+),FLI1_(+),FOS_(+),FOSB_(+),FOSL2_(+),FOXO3_(+),FOXP1_(+),GATA3_(+),GATAD1_(+),GATAD2A_(+),GTF2I_(+),HMBOX1_(+),HMG20B_(+),HMGA1_(+),HOXB2_(+),HSF1_(+),IKZF1_(+),IKZF2_(+),IKZF3_(+),ILF2_(+),ING4_(+),IRF1_(+),IRF2_(+),IRF3_(+),IRF7_(+),IRF8_(+),IRF9_(+),JUN_(+),JUNB_(+),JUND_(+),KLF2_(+),KLF3_(+),MAF_(+),MAFF_(+),MAX_(+),MGA_(+),MLX_(+),MXD1_(+),MXD4_(+),MYBL1_(+),NFATC2_(+),NFE2L2_(+),NFYC_(+),NR2C2_(+),NR3C1_(+),PBX2_(+),PHF20_(+),PRDM1_(+),PURA_(+),RUNX3_(+),RXRB_(+),SMARCC2_(+),SP3_(+),STAT1_(+),STAT3_(+),STAT6_(+),TAF6_(+),TBX21_(+),TCF7_(+),TFDP1_(+),TFDP2_(+),TFEB_(+),USF2_(+),VEZF1_(+),XBP1_(+),YBX1_(+),YY1_(+),ZBTB43_(+),ZBTB7A_(+),ZFP91_(+),ZFX_(+),ZNF148_(+),ZNF224_(+),ZNF226_(+),ZNF274_(+),ZNF33A_(+),ZNF350_(+),ZNF429_(+),ZNF480_(+),ZNF518A_(+),ZNF580_(+),ZNF600_(+)
,,,,,,,,SEPHS2,,,,,,,,,,,,,PHB,,,,,PCBP2,,,,,,,,,,,,,,,,ZNF706,,,UQCRQ,,,,,,,,PPP4C,TADA3,SETX,,,,,,,,,,,,,,,,,,,,NAA15,,,,,,,,,,,,,,,STK4,NDUFB1,PDLIM1,,ZNF559,,,,,,,,,,,,,
,,,,,,,,SF3B2,,,,,,,,,,,,,PIGBOS1,,,,,PCED1B-AS1,,,,,,,,,,,,,,,,ZYX,,,VMA21,,,,,,,,PRKAR1A,TAX1BP1,SF3B1,,,,,,,,,,,,,,,,,,,,NAA60,,,,,,,,,,,,,,,STMN1,NDUFB3,PGAM1,,ZNF622,,,,,,,,,,,,,
,,,,,,,,SIGIRR,,,,,,,,,,,,,PITHD1,,,,,PDCD2,,,,,,,,,,,,,,,,,,,VPS26A,,,,,,,,PRKCH,THAP1,SF3B4,,,,,,,,,,,,,,,,,,,,NACA,,,,,,,,,,,,,,,STX10,NDUFS5,PGLS,,ZNF706,,,,,,,,,,,,,
,,,,,,,,SIRT2,,,,,,,,,,,,,PLAC8,,,,,PDE12,,,,,,,,,,,,,,,,,,,YBX1,,,,,,,,PRPF18,TIMM17B,SH3BGRL,,,,,,,,,,,,,,,,,,,,NAP1L4,,,,,,,,,,,,,,,STXBP2,NEDD8,PHACTR2,,ZNF791,,,,,,,,,,,,,
,,,,,,,,SKAP2,,,,,,,,,,,,,PLEK,,,,,PDE4D,,,,,,,,,,,,,,,,,,,YWHAZ,,,,,,,,PRPF38A,TKT,SH3BGRL3,,,,,,,,,,,,,,,,,,,,NAXE,,,,,,,,,,,,,,,SUCLG1,NEK7,PHF20L1,,ZNF91,,,,,,,,,,,,,
,,,,,,,,SLC20A1,,,,,,,,,,,,,PLEKHJ1,,,,,PDIA3,,,,,,,,,,,,,,,,,,,YY1,,,,,,,,PRPF38B,TMA7,SH3YL1,,,,,,,,,,,,,,,,,,,,NCAM1,,,,,,,,,,,,,,,SUCLG2,NELFE,PLAC8,,,,,,,,,,,,,,,
,,,,,,,,SLC38A1,,,,,,,,,,,,,POLE4,,,,,PEF1,,,,,,,,,,,,,,,,,,,ZNF24,,,,,,,,PRPF6,TMBIM6,SLC25A3,,,,,,,,,,,,,,,,,,,,NCBP2,,,,,,,,,,,,,,,SUMO1,NFKBIA,PLEKHA1,,,,,,,,,,,,,,,
,,,,,,,,SLC38A2,,,,,,,,,,,,,POMC,,,,,PET100,,,,,,,,,,,,,,,,,,,,,,,,,,,PRSS23,TMEM107,SLC35B1,,,,,,,,,,,,,,,,,,,,NCKAP1L,,,,,,,,,,,,,,,SYF2,NME1,PML,,,,,,,,,,,,,,,
,,,,,,,,SLC4A7,,,,,,,,,,,,,POP4,,,,,PFDN2,,,,,,,,,,,,,,,,,,,,,,,,,,,PSIP1,TMEM170A,SMARCA5,,,,,,,,,,,,,,,,,,,,NCL,,,,,,,,,,,,,,,TADA3,NR1H2,POLR2A,,,,,,,,,,,,,,,
,,,,,,,,SMARCE1,,,,,,,,,,,,,PPIL4,,,,,PFN1,,,,,,,,,,,,,,,,,,,,,,,,,,,PSMG3,TMEM59,SMC1A,,,,,,,,,,,,,,,,,,,,NCOA4,,,,,,,,,,,,,,,TAF10,NRDC,POLR2E,,,,,,,,,,,,,,,
,,,,,,,,SMG1,,,,,,,,,,,,,PPM1G,,,,,PGK1,,,,,,,,,,,,,,,,,,,,,,,,,,,PYCARD,TMX2,SMDT1,,,,,,,,,,,,,,,,,,,,NCOR1,,,,,,,,,,,,,,,TAPBPL,NSA2,POLR2H,,,,,,,,,,,,,,,
,,,,,,,,SMS,,,,,,,,,,,,,PPP1CA,,,,,PHF20,,,,,,,,,,,,,,,,,,,,,,,,,,,QKI,TNFAIP3,SMNDC1,,,,,,,,,,,,,,,,,,,,NDUFA4,,,,,,,,,,,,,,,TBCB,NT5C,POLR2K,,,,,,,,,,,,,,,
,,,,,,,,SNHG5,,,,,,,,,,,,,PPP1CC,,,,,PIK3CD,,,,,,,,,,,,,,,,,,,,,,,,,,,RAB11B,TNFAIP8,SNRPA,,,,,,,,,,,,,,,,,,,,NDUFA5,,,,,,,,,,,,,,,TCOF1,NT5C3A,PPA1,,,,,,,,,,,,,,,
,,,,,,,,SNHG8,,,,,,,,,,,,,PPP1R10,,,,,PIM1,,,,,,,,,,,,,,,,,,,,,,,,,,,RAB4B,TOMM22,SNRPB2,,,,,,,,,,,,,,,,,,,,NDUFA7,,,,,,,,,,,,,,,TGFBR3,NTAN1,PPCS,,,,,,,,,,,,,,,
,,,,,,,,SNHG9,,,,,,,,,,,,,PPP1R15A,,,,,PML,,,,,,,,,,,,,,,,,,,,,,,,,,,RAB8B,TPD52,SNRPE,,,,,,,,,,,,,,,,,,,,NDUFS5,,,,,,,,,,,,,,,TGOLN2,NUDCD2,PPIA,,,,,,,,,,,,,,,
,,,,,,,,SNRK,,,,,,,,,,,,,PRMT1,,,,,PNKP,,,,,,,,,,,,,,,,,,,,,,,,,,,RABEP1,TPD52L2,SOCS2,,,,,,,,,,,,,,,,,,,,NDUFV1,,,,,,,,,,,,,,,THOC1,NUDT14,PPIB,,,,,,,,,,,,,,,
,,,,,,,,SNX6,,,,,,,,,,,,,PRMT2,,,,,POLR2B,,,,,,,,,,,,,,,,,,,,,,,,,,,RACK1,TPM4,SPN,,,,,,,,,,,,,,,,,,,,NEAT1,,,,,,,,,,,,,,,THUMPD3,NUDT5,PPP1R12A,,,,,,,,,,,,,,,
,,,,,,,,SON,,,,,,,,,,,,,PRMT9,,,,,PPIA,,,,,,,,,,,,,,,,,,,,,,,,,,,RALGDS,TPT1,SPTBN1,,,,,,,,,,,,,,,,,,,,NECAP1,,,,,,,,,,,,,,,TIMM8B,OGT,PPP1R2,,,,,,,,,,,,,,,
,,,,,,,,SP110,,,,,,,,,,,,,PRPF38A,,,,,PPIL4,,,,,,,,,,,,,,,,,,,,,,,,,,,RAP2B,TRAPPC5,SRGN,,,,,,,,,,,,,,,,,,,,NELFE,,,,,,,,,,,,,,,TM7SF3,OR2A25,PPP4R2,,,,,,,,,,,,,,,
,,,,,,,,SRGN,,,,,,,,,,,,,PRPF38B,,,,,PPM1A,,,,,,,,,,,,,,,,,,,,,,,,,,,RB1CC1,TRIM14,SRM,,,,,,,,,,,,,,,,,,,,NEU1,,,,,,,,,,,,,,,TMBIM4,ORMDL1,PPP4R3B,,,,,,,,,,,,,,,
,,,,,,,,SRSF2,,,,,,,,,,,,,PRPF8,,,,,PPP2R3C,,,,,,,,,,,,,,,,,,,,,,,,,,,RBM48,TRIM27,SRP54,,,,,,,,,,,,,,,,,,,,NFKBIB,,,,,,,,,,,,,,,TMCO1,OST4,PRDX1,,,,,,,,,,,,,,,
,,,,,,,,SRSF3,,,,,,,,,,,,,PRR13,,,,,PPP4C,,,,,,,,,,,,,,,,,,,,,,,,,,,RBM8A,TRIM28,SRSF11,,,,,,,,,,,,,,,,,,,,NIN,,,,,,,,,,,,,,,TMEM106B,P4HB,PRDX3,,,,,,,,,,,,,,,
,,,,,,,,SRSF6,,,,,,,,,,,,,PRRC2C,,,,,PPP6R1,,,,,,,,,,,,,,,,,,,,,,,,,,,REST,TRIM38,SRSF3,,,,,,,,,,,,,,,,,,,,NME1,,,,,,,,,,,,,,,TMEM126A,PAIP2,PRPF31,,,,,,,,,,,,,,,
,,,,,,,,SSB,,,,,,,,,,,,,PRSS57,,,,,PRDX3,,,,,,,,,,,,,,,,,,,,,,,,,,,RGS1,TRMT112,SRSF6,,,,,,,,,,,,,,,,,,,,NME6,,,,,,,,,,,,,,,TMEM156,PANK2,PRPF4B,,,,,,,,,,,,,,,
,,,,,,,,SSR3,,,,,,,,,,,,,PSMA3,,,,,PRDX6,,,,,,,,,,,,,,,,,,,,,,,,,,,RHOF,TSPYL2,SRSF8,,,,,,,,,,,,,,,,,,,,NMI,,,,,,,,,,,,,,,TMEM223,PAPOLA,PRR13,,,,,,,,,,,,,,,
,,,,,,,,TAF11,,,,,,,,,,,,,PSMB3,,,,,PRSS23,,,,,,,,,,,,,,,,,,,,,,,,,,,RNF181,TTC19,ST13,,,,,,,,,,,,,,,,,,,,NOP58,,,,,,,,,,,,,,,TMEM50B,PARK7,PRR5,,,,,,,,,,,,,,,
,,,,,,,,TAF12,,,,,,,,,,,,,PSMB8,,,,,PSMA3-AS1,,,,,,,,,,,,,,,,,,,,,,,,,,,RNF213,TTC39C,STARD3NL,,,,,,,,,,,,,,,,,,,,NRBF2,,,,,,,,,,,,,,,TMEM9B,PCED1B-AS1,PRR5L,,,,,,,,,,,,,,,
,,,,,,,,TBC1D22A,,,,,,,,,,,,,PSMD2,,,,,PSMB1,,,,,,,,,,,,,,,,,,,,,,,,,,,ROMO1,TUBA1A,STAT1,,,,,,,,,,,,,,,,,,,,NRBP1,,,,,,,,,,,,,,,TMSB4X,PCGF5,PRR7,,,,,,,,,,,,,,,
,,,,,,,,TBX21,,,,,,,,,,,,,PSMD7,,,,,PSMB3,,,,,,,,,,,,,,,,,,,,,,,,,,,RPL15,TXN2,STK24,,,,,,,,,,,,,,,,,,,,NT5C,,,,,,,,,,,,,,,TMUB1,PCM1,PSAP,,,,,,,,,,,,,,,
,,,,,,,,TCEB2,,,,,,,,,,,,,PTMA,,,,,PSMD3,,,,,,,,,,,,,,,,,,,,,,,,,,,RPL22L1,TXNL1,STOM,,,,,,,,,,,,,,,,,,,,NUDC,,,,,,,,,,,,,,,TOMM5,PDCD2,PSMA4,,,,,,,,,,,,,,,
,,,,,,,,TCIRG1,,,,,,,,,,,,,PTMS,,,,,PSMG2,,,,,,,,,,,,,,,,,,,,,,,,,,,RPL31,UAP1,STRAP,,,,,,,,,,,,,,,,,,,,NUMA1,,,,,,,,,,,,,,,TPD52,PDCD6,PSMA7,,,,,,,,,,,,,,,
,,,,,,,,TEN1,,,,,,,,,,,,,PTPN22,,,,,PTPN22,,,,,,,,,,,,,,,,,,,,,,,,,,,RPL34,UBC,STUB1,,,,,,,,,,,,,,,,,,,,NUS1,,,,,,,,,,,,,,,TPM4,PDIA6,PSMB3,,,,,,,,,,,,,,,
,,,,,,,,TGFBR3,,,,,,,,,,,,,PTPN4,,,,,PTPRC,,,,,,,,,,,,,,,,,,,,,,,,,,,RPL36,UBE2S,SUPT16H,,,,,,,,,,,,,,,,,,,,NXT1,,,,,,,,,,,,,,,TPST2,PFDN6,PSMC1,,,,,,,,,,,,,,,
,,,,,,,,TGOLN2,,,,,,,,,,,,,PTPRA,,,,,PUF60,,,,,,,,,,,,,,,,,,,,,,,,,,,RPL6,UBE3A,SYTL3,,,,,,,,,,,,,,,,,,,,OARD1,,,,,,,,,,,,,,,TRABD,PFN1,PSMC2,,,,,,,,,,,,,,,
,,,,,,,,THYN1,,,,,,,,,,,,,PTPRE,,,,,PXN,,,,,,,,,,,,,,,,,,,,,,,,,,,RPL7A,UQCR11,TAGLN2,,,,,,,,,,,,,,,,,,,,OR11G2,,,,,,,,,,,,,,,TRADD,PGGT1B,PSMC4,,,,,,,,,,,,,,,
,,,,,,,,TIMM8B,,,,,,,,,,,,,PYHIN1,,,,,RAB1B,,,,,,,,,,,,,,,,,,,,,,,,,,,RPL8,UQCRH,TAP1,,,,,,,,,,,,,,,,,,,,OSER1,,,,,,,,,,,,,,,TRAF3IP3,PHACTR2,PSMD11,,,,,,,,,,,,,,,
,,,,,,,,TLE1,,,,,,,,,,,,,RAB37,,,,,RAB3GAP2,,,,,,,,,,,,,,,,,,,,,,,,,,,RPLP2,USP1,TARS,,,,,,,,,,,,,,,,,,,,OSTC,,,,,,,,,,,,,,,TRAPPC1,PHACTR4,PSMD14,,,,,,,,,,,,,,,
,,,,,,,,TMEM87A,,,,,,,,,,,,,RASSF5,,,,,RAB5A,,,,,,,,,,,,,,,,,,,,,,,,,,,RPS14,UXT,TBC1D1,,,,,,,,,,,,,,,,,,,,OSTF1,,,,,,,,,,,,,,,TRAPPC6A,PHF11,PSMD2,,,,,,,,,,,,,,,
,,,,,,,,TNFRSF14,,,,,,,,,,,,,RBM22,,,,,RABEP1,,,,,,,,,,,,,,,,,,,,,,,,,,,RPS18,VAMP2,TGFB1,,,,,,,,,,,,,,,,,,,,P2RX4,,,,,,,,,,,,,,,TRIM28,PHF20,PTGDR,,,,,,,,,,,,,,,
,,,,,,,,TNRC6B,,,,,,,,,,,,,RBM34,,,,,RACK1,,,,,,,,,,,,,,,,,,,,,,,,,,,RPS19,VAPA,THRAP3,,,,,,,,,,,,,,,,,,,,PA2G4,,,,,,,,,,,,,,,TSC2,PICALM,PTMA,,,,,,,,,,,,,,,
,,,,,,,,TOMM5,,,,,,,,,,,,,RCN2,,,,,RALA,,,,,,,,,,,,,,,,,,,,,,,,,,,RPS2,VGLL4,THUMPD3-AS1,,,,,,,,,,,,,,,,,,,,PAPOLA,,,,,,,,,,,,,,,TSNAX,PLSCR1,PTP4A2,,,,,,,,,,,,,,,
,,,,,,,,TOR1A,,,,,,,,,,,,,RCSD1,,,,,RANGRF,,,,,,,,,,,,,,,,,,,,,,,,,,,RPS3A,VMP1,TIMM13,,,,,,,,,,,,,,,,,,,,PCED1B-AS1,,,,,,,,,,,,,,,TSPO,PMAIP1,PTPN4,,,,,,,,,,,,,,,
,,,,,,,,TOX4,,,,,,,,,,,,,RELA,,,,,RAP1B,,,,,,,,,,,,,,,,,,,,,,,,,,,RPS4X,WDR11,TLN1,,,,,,,,,,,,,,,,,,,,PDE12,,,,,,,,,,,,,,,TYROBP,PMPCB,PUF60,,,,,,,,,,,,,,,
,,,,,,,,TPD52,,,,,,,,,,,,,RNF126,,,,,RASGRP2,,,,,,,,,,,,,,,,,,,,,,,,,,,RPS6,WDR46,TMC6,,,,,,,,,,,,,,,,,,,,PDPK1,,,,,,,,,,,,,,,UBE2D2,PNISR,PYCARD,,,,,,,,,,,,,,,
,,,,,,,,TPM3,,,,,,,,,,,,,RNF181,,,,,RB1CC1,,,,,,,,,,,,,,,,,,,,,,,,,,,RPS7,YPEL5,TMED4,,,,,,,,,,,,,,,,,,,,PDS5A,,,,,,,,,,,,,,,UBE2J2,PNRC2,RAB11FIP1,,,,,,,,,,,,,,,
,,,,,,,,TPST2,,,,,,,,,,,,,RPA2,,,,,RBCK1,,,,,,,,,,,,,,,,,,,,,,,,,,,RPS9,YTHDC1,TMEM165,,,,,,,,,,,,,,,,,,,,PFDN2,,,,,,,,,,,,,,,UBE2Q1,POLE4,RAB5A,,,,,,,,,,,,,,,
,,,,,,,,TRA2A,,,,,,,,,,,,,RPL23,,,,,RBM42,,,,,,,,,,,,,,,,,,,,,,,,,,,RSL1D1,YY1,TMEM179B,,,,,,,,,,,,,,,,,,,,PFDN6,,,,,,,,,,,,,,,UBL5,POLR2H,RAB6A,,,,,,,,,,,,,,,
,,,,,,,,TRIM22,,,,,,,,,,,,,RPS5,,,,,RBPJ,,,,,,,,,,,,,,,,,,,,,,,,,,,RSL24D1,ZFAS1,TMEM230,,,,,,,,,,,,,,,,,,,,PGK1,,,,,,,,,,,,,,,UGGT1,POMP,RAB9A,,,,,,,,,,,,,,,
,,,,,,,,TRMT112,,,,,,,,,,,,,RTN3,,,,,REEP5,,,,,,,,,,,,,,,,,,,,,,,,,,,S100A4,ZFP36,TMEM259,,,,,,,,,,,,,,,,,,,,PHPT1,,,,,,,,,,,,,,,USP15,POP5,RAC2,,,,,,,,,,,,,,,
,,,,,,,,TSC22D3,,,,,,,,,,,,,RUNX1,,,,,RGS10,,,,,,,,,,,,,,,,,,,,,,,,,,,S100A6,ZMAT3,TNPO1,,,,,,,,,,,,,,,,,,,,PIAS1,,,,,,,,,,,,,,,USP8,PPIB,RACK1,,,,,,,,,,,,,,,
,,,,,,,,TSN,,,,,,,,,,,,,SERP1,,,,,RHEB,,,,,,,,,,,,,,,,,,,,,,,,,,,SART1,ZNF335,TPI1,,,,,,,,,,,,,,,,,,,,PITHD1,,,,,,,,,,,,,,,UTP18,PPIH,RAP1B,,,,,,,,,,,,,,,
,,,,,,,,TSPYL2,,,,,,,,,,,,,SERPINB9,,,,,RHOA,,,,,,,,,,,,,,,,,,,,,,,,,,,SCML4,ZNF397,TPT1,,,,,,,,,,,,,,,,,,,,PLAC8,,,,,,,,,,,,,,,UXS1,PPM1A,RBM39,,,,,,,,,,,,,,,
,,,,,,,,TTC17,,,,,,,,,,,,,SET,,,,,RHOBTB3,,,,,,,,,,,,,,,,,,,,,,,,,,,SCO2,ZNF701,TRAF3IP3,,,,,,,,,,,,,,,,,,,,PLEKHA2,,,,,,,,,,,,,,,VAMP8,PPM1B,RBM4,,,,,,,,,,,,,,,
,,,,,,,,TUBA4A,,,,,,,,,,,,,SF3B1,,,,,RHOC,,,,,,,,,,,,,,,,,,,,,,,,,,,SCP2,,TRAPPC10,,,,,,,,,,,,,,,,,,,,PLEKHB2,,,,,,,,,,,,,,,VKORC1,PPTC7,RGCC,,,,,,,,,,,,,,,
,,,,,,,,TWISTNB,,,,,,,,,,,,,SF3B4,,,,,RMDN3,,,,,,,,,,,,,,,,,,,,,,,,,,,SEC61B,,TRAPPC5,,,,,,,,,,,,,,,,,,,,PLRG1,,,,,,,,,,,,,,,VPS4A,PRKCB,RIC8A,,,,,,,,,,,,,,,
,,,,,,,,UBA52,,,,,,,,,,,,,SF3B6,,,,,RNASET2,,,,,,,,,,,,,,,,,,,,,,,,,,,SEL1L,,TSPYL2,,,,,,,,,,,,,,,,,,,,PNN,,,,,,,,,,,,,,,XCL2,PRPF4B,RNF187,,,,,,,,,,,,,,,
,,,,,,,,UBAC2,,,,,,,,,,,,,SH2D1A,,,,,RNF166,,,,,,,,,,,,,,,,,,,,,,,,,,,SERF2,,TSSC4,,,,,,,,,,,,,,,,,,,,PNRC2,,,,,,,,,,,,,,,YME1L1,PRPSAP1,RNF5,,,,,,,,,,,,,,,
,,,,,,,,UBB,,,,,,,,,,,,,SH3BP1,,,,,RNF181,,,,,,,,,,,,,,,,,,,,,,,,,,,SERTAD1,,TTC1,,,,,,,,,,,,,,,,,,,,POLD4,,,,,,,,,,,,,,,ZNF106,PRRC2C,RNH1,,,,,,,,,,,,,,,
,,,,,,,,UBC,,,,,,,,,,,,,SIGLEC7,,,,,RNF44,,,,,,,,,,,,,,,,,,,,,,,,,,,SET,,TTC14,,,,,,,,,,,,,,,,,,,,POLR2A,,,,,,,,,,,,,,,ZNF131,PSMA5,RPA2,,,,,,,,,,,,,,,
,,,,,,,,UBE2J2,,,,,,,,,,,,,SIKE1,,,,,RNF5,,,,,,,,,,,,,,,,,,,,,,,,,,,SF3B2,,UBAC2,,,,,,,,,,,,,,,,,,,,POLR2H,,,,,,,,,,,,,,,ZNF24,PSMA6,RPL11,,,,,,,,,,,,,,,
,,,,,,,,UBE2N,,,,,,,,,,,,,SIPA1,,,,,RNFT1,,,,,,,,,,,,,,,,,,,,,,,,,,,SFPQ,,UBE2A,,,,,,,,,,,,,,,,,,,,POLR2J3,,,,,,,,,,,,,,,ZNF331,PSMC1,RPL12,,,,,,,,,,,,,,,
,,,,,,,,UBL7,,,,,,,,,,,,,SKA2,,,,,RNPEPL1,,,,,,,,,,,,,,,,,,,,,,,,,,,SFSWAP,,UBE2B,,,,,,,,,,,,,,,,,,,,POLR2L,,,,,,,,,,,,,,,ZRANB2,PSMC2,RPL13,,,,,,,,,,,,,,,
,,,,,,,,UBLCP1,,,,,,,,,,,,,SLA,,,,,RPL17,,,,,,,,,,,,,,,,,,,,,,,,,,,SH2D1A,,UQCRQ,,,,,,,,,,,,,,,,,,,,POU2F2,,,,,,,,,,,,,,,,PSMD14,RPL13A,,,,,,,,,,,,,,,
,,,,,,,,UGP2,,,,,,,,,,,,,SLC25A3,,,,,RPL18A,,,,,,,,,,,,,,,,,,,,,,,,,,,SH2D2A,,UROS,,,,,,,,,,,,,,,,,,,,PPIA,,,,,,,,,,,,,,,,PSMG3,RPL18A,,,,,,,,,,,,,,,
,,,,,,,,UPF2,,,,,,,,,,,,,SLC25A39,,,,,RPL23,,,,,,,,,,,,,,,,,,,,,,,,,,,SH3BP1,,USO1,,,,,,,,,,,,,,,,,,,,PPIG,,,,,,,,,,,,,,,,PTK2B,RPL22,,,,,,,,,,,,,,,
,,,,,,,,UPF3B,,,,,,,,,,,,,SLC38A2,,,,,RPL29,,,,,,,,,,,,,,,,,,,,,,,,,,,SH3BP2,,USP28,,,,,,,,,,,,,,,,,,,,PPM1A,,,,,,,,,,,,,,,,PTMA,RPL23,,,,,,,,,,,,,,,
,,,,,,,,UQCR10,,,,,,,,,,,,,SLC3A2,,,,,RPL31,,,,,,,,,,,,,,,,,,,,,,,,,,,SH3YL1,,USP7,,,,,,,,,,,,,,,,,,,,PPP1CC,,,,,,,,,,,,,,,,RABGAP1L,RPL24,,,,,,,,,,,,,,,
,,,,,,,,UROS,,,,,,,,,,,,,SLFN12L,,,,,RPL34,,,,,,,,,,,,,,,,,,,,,,,,,,,SHISA5,,VDAC1,,,,,,,,,,,,,,,,,,,,PPP1R11,,,,,,,,,,,,,,,,RACK1,RPL26,,,,,,,,,,,,,,,
,,,,,,,,USF2,,,,,,,,,,,,,SLIRP,,,,,RPL36,,,,,,,,,,,,,,,,,,,,,,,,,,,SLC3A2,,VPS28,,,,,,,,,,,,,,,,,,,,PPP2CA,,,,,,,,,,,,,,,,RALGDS,RPL29,,,,,,,,,,,,,,,
,,,,,,,,USP47,,,,,,,,,,,,,SLU7,,,,,RPL36AL,,,,,,,,,,,,,,,,,,,,,,,,,,,SLTM,,WAC-AS1,,,,,,,,,,,,,,,,,,,,PPP2R5A,,,,,,,,,,,,,,,,RAP1B,RPL36,,,,,,,,,,,,,,,
,,,,,,,,UXS1,,,,,,,,,,,,,SMAP2,,,,,RPL37,,,,,,,,,,,,,,,,,,,,,,,,,,,SMAP2,,WDR1,,,,,,,,,,,,,,,,,,,,PPP4R2,,,,,,,,,,,,,,,,RASGRP2,RPL41,,,,,,,,,,,,,,,
,,,,,,,,VDAC1,,,,,,,,,,,,,SMARCA2,,,,,RPL8,,,,,,,,,,,,,,,,,,,,,,,,,,,SMARCA2,,YWHAQ,,,,,,,,,,,,,,,,,,,,PPP4R3A,,,,,,,,,,,,,,,,RBCK1,RPL5,,,,,,,,,,,,,,,
,,,,,,,,VPS28,,,,,,,,,,,,,SMCHD1,,,,,RPS12,,,,,,,,,,,,,,,,,,,,,,,,,,,SMARCA5,,ZAP70,,,,,,,,,,,,,,,,,,,,PRDM2,,,,,,,,,,,,,,,,RBM3,RPL8,,,,,,,,,,,,,,,
,,,,,,,,VPS35,,,,,,,,,,,,,SMIM15,,,,,RPS15A,,,,,,,,,,,,,,,,,,,,,,,,,,,SMARCC1,,ZCCHC10,,,,,,,,,,,,,,,,,,,,PRMT2,,,,,,,,,,,,,,,,RBM8A,RPL9,,,,,,,,,,,,,,,
,,,,,,,,WASF2,,,,,,,,,,,,,SMIM7,,,,,RPS19,,,,,,,,,,,,,,,,,,,,,,,,,,,SMARCE1,,ZFAS1,,,,,,,,,,,,,,,,,,,,PRPF6,,,,,,,,,,,,,,,,RFC2,RPS15A,,,,,,,,,,,,,,,
,,,,,,,,WBP1L,,,,,,,,,,,,,SNAP23,,,,,RPS24,,,,,,,,,,,,,,,,,,,,,,,,,,,SMCHD1,,ZFP36L2,,,,,,,,,,,,,,,,,,,,PRSS57,,,,,,,,,,,,,,,,RNF10,RPS18,,,,,,,,,,,,,,,
,,,,,,,,WBP2,,,,,,,,,,,,,SNF8,,,,,RPS25,,,,,,,,,,,,,,,,,,,,,,,,,,,SMIM15,,ZNF638,,,,,,,,,,,,,,,,,,,,PSMD12,,,,,,,,,,,,,,,,RNF13,RPS19BP1,,,,,,,,,,,,,,,
,,,,,,,,WDR45,,,,,,,,,,,,,SNRPE,,,,,RPS28,,,,,,,,,,,,,,,,,,,,,,,,,,,SND1,,ZNF655,,,,,,,,,,,,,,,,,,,,PSMD14,,,,,,,,,,,,,,,,RNF139,RPS20,,,,,,,,,,,,,,,
,,,,,,,,WSB1,,,,,,,,,,,,,SNX5,,,,,RPS7,,,,,,,,,,,,,,,,,,,,,,,,,,,SNRPD2,,,,,,,,,,,,,,,,,,,,,,PSMD7,,,,,,,,,,,,,,,,RNF167,RPS24,,,,,,,,,,,,,,,
,,,,,,,,XRN2,,,,,,,,,,,,,SOAT1,,,,,RRP15,,,,,,,,,,,,,,,,,,,,,,,,,,,SNX1,,,,,,,,,,,,,,,,,,,,,,PSMD8,,,,,,,,,,,,,,,,RNF7,RPS25,,,,,,,,,,,,,,,
,,,,,,,,YPEL5,,,,,,,,,,,,,SORL1,,,,,RSBN1L,,,,,,,,,,,,,,,,,,,,,,,,,,,SP100,,,,,,,,,,,,,,,,,,,,,,PTGES3,,,,,,,,,,,,,,,,RNFT1,RPS3,,,,,,,,,,,,,,,
,,,,,,,,YTHDC1,,,,,,,,,,,,,SPAG7,,,,,RWDD1,,,,,,,,,,,,,,,,,,,,,,,,,,,SP110,,,,,,,,,,,,,,,,,,,,,,PTPRC,,,,,,,,,,,,,,,,ROMO1,RPSA,,,,,,,,,,,,,,,
,,,,,,,,YWHAZ,,,,,,,,,,,,,SPTAN1,,,,,S100A10,,,,,,,,,,,,,,,,,,,,,,,,,,,SPAG7,,,,,,,,,,,,,,,,,,,,,,PYURF,,,,,,,,,,,,,,,,RPL12,RRP15,,,,,,,,,,,,,,,
,,,,,,,,ZC3H15,,,,,,,,,,,,,SRGN,,,,,S1PR4,,,,,,,,,,,,,,,,,,,,,,,,,,,SPG11,,,,,,,,,,,,,,,,,,,,,,RAB11B,,,,,,,,,,,,,,,,RPL15,RWDD1,,,,,,,,,,,,,,,
,,,,,,,,ZCCHC7,,,,,,,,,,,,,SRRM1,,,,,SAFB,,,,,,,,,,,,,,,,,,,,,,,,,,,SRP14,,,,,,,,,,,,,,,,,,,,,,RAB11FIP1,,,,,,,,,,,,,,,,RPL21,S1PR4,,,,,,,,,,,,,,,
